Sex,Age,Height,Weight,Year,Season,HostCity,Sport,MedalType,AthleteCountry,HostRegion,AthleteRegion,SportType
M,31,178,75,1972,Winter,others,Others,Gold,Germany,Asia,Europe,Ice
M,31,175,79,1976,Winter,Innsbruck,Hockey,Gold,Russia,Europe,Europe,Ice
M,43,173,69,1980,Summer,Moskva,Equestrianism,Bronze,Others,Europe,North America,Others
M,28,175,75,2016,Summer,Rio de Janeiro,Others,Bronze,Others,South America,Africa,Ball
M,22,185,70,2000,Summer,Sydney,Track&Field,Silver,Others,Oceania,Africa,Race
M,23,190,76,2004,Summer,Athina,Others,Bronze,Japan,Europe,Asia,Ball
M,24,176,74,2004,Summer,Athina,Others,Gold,China,Europe,Asia,Ball
F,24,173,70,1988,Summer,Seoul,Volleyball,Silver,Others,Asia,South America,Ball
F,29,160,56,1998,Winter,Nagano,Skating,Bronze,Others,Asia,Asia,Ice
F,17,160,57,1964,Winter,Innsbruck,Skating,Silver,Canada,Europe,North America,Ice
F,19,165,57,2002,Winter,Salt Lake City,Skating,Bronze,Canada,North America,North America,Ice
M,22,170,61,1984,Winter,others,Skating,Silver,Canada,Europe,North America,Ice
F,22,180,63,1988,Summer,Seoul,Fencing,Bronze,Germany,Asia,Europe,Combat
M,26,192,87,1976,Summer,Montreal,Rowing,Bronze,New Zealand,North America,Oceania,Boat
M,29,183,86,2012,Summer,London,Canoeing,Silver,Spain,Europe,Europe,Boat
M,31,183,88,1924,Summer,others,Others,Silver,France,Europe,Europe,Ball
M,23,167,64,1956,Summer,Melbourne,Hockey,Gold,India,Oceania,Asia,Ball
F,26,176,65,2016,Summer,Rio de Janeiro,Track&Field,Bronze,Serbia,South America,Europe,Race
F,29,166,61,2002,Winter,Salt Lake City,Skating,Gold,Germany,North America,Europe,Ice
F,21,169,66,1988,Summer,Seoul,Canoeing,Bronze,Bulgaria,Asia,Europe,Boat
M,28,188,79,1988,Summer,Seoul,Track&Field,Silver,Jamaica,Asia,North America,Race
F,25,168,62,1988,Summer,Seoul,Track&Field,Bronze,Russia,Asia,Europe,Race
M,25,194,74,1988,Summer,Seoul,MultiSport Race,Gold,Hungary,Asia,Europe,Race
M,25,175,75,1996,Summer,Atlanta,Track&Field,Bronze,Jamaica,North America,North America,Race
M,22,202,100,2000,Summer,Sydney,Swimming,Bronze,Germany,Oceania,Europe,Water
